"","Id","Fecha","Forófito","Latitud","Longitud","Código.SAU","Familia.hospedero","Especie.hospedero","CAP.cm.","Altura..m.","Sitio.de.colecta","Codigo.sitio","Contaminación","Contaminación..PLI.","Distancia.a.la.vía..m.","Tipo.de.vía","Entorno","Id.epifita","Grupo.epifita","Especie.epifita","Especie.código","Altura..m..1","Estrato","Estrato.código","Orientacion","Tamaño..cm","Longitud..cm.","Fenologia","Colectado","Código.muestra","Peso..g.","Susceptibilidad..X.","X.normal","observaciones","X__id"
"21",319,45238,"AM40","6.3389864","-75.5068394","No se puede ingresar, otro municipio","Fabaceae","Erythrina fusca","213.8","15","Copacabana","CP","Control","2.7","5.5","Flujo bajo","ResidenciasQuebrada","319","liquen","Flavoparmelia carperata","Li","-","2-4 m","E2","-","-","-","-","X","CPE2Li319","7.28","","","","WDxtaWJpJWQhMnBlPDo0TUszeTY"
"22",250,45207,"AM37","6.2774029281249115","-75.6355567072325","00160210080013","Lythraceae","Lafoensia acuminata","152","12","San Cristobal","SC","Control","2","3","Flujo bajo","Residencias","250","","Pleopeltis macrocarpa","Pl","290","2-4 m","E2","No expuesta a contaminación","80","20","","","SCE2Pl250","","","","","LUhaR1F1NnVSaEgtMSZ5WFgxNF0"
"23",292,45238,"AM43","6.3396902","-75.5073061","No se puede ingresar, otro municipio","Bignoniaceae","Spathodea campanulata","227.2","16","Copacabana","CP","Control","2.7","1.3","Flujo bajo","ResidenciasQuebrada","292B","","Rhipsalis baccifera","Rh","3.5","2-4 m","E2","No expuesta a contaminación","80","13","Fértil","","CPE2Rh292B","","","","Vieja (B)","QEBlW21Uc0oqUXpSRWxQQXZIbCk"
"24",244,45207,"AM35","6.277412337187649","-75.63548535629661","00160210080014","Lythraceae","Lafoensia acuminata","99.2","12","San Cristobal","SC","Control","2","3","Flujo bajo","Residencias","244","","Tillandsia recurvata","Ti","2.4","2-4 m","E2","No expuesta a contaminación","2","10","Infértil","","SCE2Ti244","","","","","KGRKWFFOPnhMcFQtSjs8d2tuSDg"
"25",223,45207,"AM35","6.277412337187649","-75.63548535629661","00160210080014","Lythraceae","Lafoensia acuminata","99.2","12","San Cristobal","SC","Control","2","3","Flujo bajo","Residencias","223","","Pleopeltis macrocarpa","Pl","5.9","4-6 m","E3","Expuesta a contaminación","20","15","","","SCE3Pl223","","","","","KzBJUGchYTUrNSNpZzFjRFo3O2Y"
"26",285,45238,"AM42","6.3394902","-75.5071559","No se puede ingresar, otro municipio","Bignoniaceae","Spathodea campanulata","219.2","16","Copacabana","CP","Control","2.7","1.4","Flujo bajo","ResidenciasQuebrada","285","","Rhipsalis baccifera","Rh","6","4-6 m","E3","Expuesta a contaminación","40","230","Fértil","","CPE3Rh285","","","","","SXZdPDc2KSEjZ1hwWmQ8aGhddis"
"27",275,45238,"AM40","6.3389864","-75.5068394","No se puede ingresar, otro municipio","Fabaceae","Erythrina fusca","213.8","15","Copacabana","CP","Control","2.7","4.5","Flujo bajo","ResidenciasQuebrada","275","","Tillandsia recurvata","Ti","5","4-6 m","E3","Expuesta a contaminación","3","12","Fértil","","CPE3Ti275","","","","","U0FxVHdAUEJDY1NBVzhRd1p0V0k"
"28",260,45207,"AM35","6.277412337187649","-75.63548535629661","00160210080014","Lythraceae","Lafoensia acuminata","99.2","12","San Cristobal","SC","Control","2","3","Flujo bajo","Residencias","260","","Pleopeltis macrocarpa","Pl","6.9","6-8 m","E4","Expuesta a contaminación","23","12","Fértil","","SCE4Pl260","","","","","Rz5MNkp3UEo5MlUrbkozZkg7bGw"
"29",282,45238,"AM42","6.3394902","-75.5071559","No se puede ingresar, otro municipio","Bignoniaceae","Spathodea campanulata","219.2","16","Copacabana","CP","Control","2.7","1.4","Flujo bajo","ResidenciasQuebrada","282B","","Rhipsalis baccifera","Rh","8","6-8 m","E4","Expuesta a contaminación","12","90","Fértil","","CPE4Rh282B","","","","Vieja (B)","UWRVKTcwQllPMjE2SiFpK2JRSw"
"30",281,45238,"AM42","6.3394902","-75.5071559","No se puede ingresar, otro municipio","Bignoniaceae","Spathodea campanulata","219.2","16","Copacabana","CP","Control","2.7","1.4","Flujo bajo","ResidenciasQuebrada","281","","Tillandsia recurvata","Ti","8","6-8 m","E4","Expuesta a contaminación","1","15","Fértil","","CPE4Ti281","","","","","T1ElKl1TVWdrc2tveWk8KlJ2b3I"
